campaign,impressions
B_Music_IN_Twitter,867976
C_Product_ID_Facebook,111888
A_Music_JP_Facebook,151285
D_Festive_ID_Facebook,752900
D_Festive_ID_OTT,580887
C_Product_VN_Twitter,299185
A_Music_AU_YouTube,720933
A_Music_JP_Twitter,361146
A_Music_AU_Facebook,758103
A_Music_KR_Twitter,885821
D_Festive_ID_YouTube,992178
C_Product_VN_OTT,478776
A_Music_AU_Twitter,16042
D_Festive_HK_Facebook,722510
B_Travel_IN_YouTube,285743
B_Music_IN_Facebook,118779
A_Music_JP_YouTube,594732
B_Travel_IN_Facebook,440246
B_Music_IN_YouTube,971814
C_Product_TH_OTT,541397
A_Music_KR_Facebook,965766
