campaign,impressions,measurable_impressions,clicks
B_Music_IN_YouTube,730769,720360,418046
C_Product_TH_OTT,162106,154224,46346
A_Music_KR_Facebook,11983,11980,9156
C_Product_ID_YouTube,52238,51938,13820
D_Festive_ID_DV,807004,799411,311062
D_Festive_NZ_Facebook,90678,76952,44082
A_Music_KR_YouTube,214360,82496,46858
C_Product_TH_YouTube,293315,224697,120031
D_Festive_NZ_YouTube,934881,207170,127828
C_Product_ID_DV,211216,141239,127650
D_Festive_HK_YouTube,314392,102681,63491
C_Product_VN_Facebook,388973,267109,128148
B_Travel_IN_OTT,196318,143633,116603
B_Travel_IN_DV,883727,826536,631207
C_Product_TH_DV,730457,60099,32768
