Rank,Song Title,Movie,Year,Lyrics
25,Go the Distance,Hercules,1997,"I have often dreamed of a far off place Where a hero's welcome would be waiting for me Where the crowds would cheer, when they see my face And a voice keeps saying this is where I'm meant to be  I'll be there someday, I can go the distance I will find my way if I can be strong I know every mile would be worth my while When I go the distance, I'll be right where I belong  Down an unknown road to embrace my fate Though that road may wander, it will lead me to you And a thousand years would be worth the wait It might take a lifetime but somehow I'll see it through  And I won't look back, I can go the distance And I'll stay on track, no I won't accept defeat It's an uphill slope But I won't loose hope, 'till I go the distance And my journey is complete, oh yeah  But to look beyond the glory is the hardest part For a hero's strength is measured by his heart, oh  Like a shooting star, I will go the distance I will search the world, I will face its harms I don't care how far, I can go the distance 'Till I find my hero's welcome waiting in your arms  I will search the world, I will face its harms 'Till I find my hero's welcome waiting in your arms"
24,I 2 I,A Goofy Movie,1995,"Hey yeah I got myself a notion One I know that you'll understand We set the world in motion By reaching out for each other's hand  Maybe we'll discover What we should have known all along One way or another Together's where we both belong  If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I  If a wall should come between us Too high to climb, too hard to break through I know that love will lead us And find a way to bring me to you  So don't be in a hurry Think before you count us out You don't have to worry I won't ever let you drown (Nothing's gonna stop us now)  If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I  Love is why we're seein' it I-2-I (Yes, we are seein' it I-2-I) Seein' it I-2 (Love is why we're seein' it) I think we're seein' it I-2-I (I-2-I) I-2-I We're seein' it I-2-I (I-2-I!)  If you're ever lonely, stop! You don't have to be After all, it's only a beat away from you to me (Take a look inside to see)  If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I  If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I  Seein' it I-2 Seein' it I-2-I We're seein' it I-2-I, baby For the first time For the first time  I-2-I Seein't it Seein' it, baby Seein' it I-2-I For the first time ever Yeah, yeah, yeah Yeah, baby We're seein' it I-2-I Seein' it (Come on, baby)  I-2-I I-2-I I-2-I I-2-I Yeah I-2-I!"
23,Everybody Wants to be a Cat,The Aristocats,1970,"Everybody wants to be a cat Because a cat's the only cat who knows where it's at Everybody's pickin' up on that feline beat 'cause everything else is obsolete  A square with a horn Makes you wish you weren't born Every time he plays But with a square in the act You can set music back To the caveman days  I've heard some corny birds who tried to sing Still a cat's the only cat Who knows how to swing Who wants to dig a long-haired gig stuff like that? When everybody wants to be a cat  A square with a horn Makes you wish you weren't born Every time he plays With a square in the act You can set music back to the caveman days  Everybody wants to be a cat Because a cat's the only cat who knows where it's at When playin' jazz he always has a welcome mat 'cause everybody digs a swingin' cat  Everybody, everybody Everybody wants to be a cat  Everybody, everybody Everybody wants to be a cat  Everybody, everybody Everybody wants to be a cat"
22,Beauty & the Beast,Beauty & the Beast,1991,Tale as old as time True as it can be Barely even friends Then somebody bends Unexpectedly  Just a little change Small to say the least Both a little scared Neither one prepared Beauty and the Beast  Ever just the same Ever a surprise Ever as before Ever just as sure As the sun will rise  Tale as old as time Tune as old as song Bittersweet and strange Finding you can change Learning you were wrong  Certain as the sun Rising in the east Tale as old as time Song as old as rhyme Beauty and the Beast  Tale as old as time Song as old as rhyme Beauty and the Beast
21,Man Out of You,Mulan,1998,"Let's get down to business To defeat the Huns Did they send me daughters when I asked for sons? You're the saddest bunch I ever met But you can bet before we're through Mister, I'll make a man out of you  Tranquil as a forest But on fire within Once you find your center You are sure to win You're a spineless, pale, pathetic lot And you haven't got a clue Somehow I'll make a man out of you  I'm never gonna catch my breath Say goodbye to those who knew me Boy, was I a fool in school for cutting gym This guy's got 'em scared to death Hope he doesn't see right through me Now I really wish that I knew how to swim  Be a man We must be swift as a coursing river Be a man With all the force of a great typhoon Be a man With all the strength of a raging fire Mysterious as the dark side of the moon  Time is racing toward us till the Huns arrive Heed my every order and you might survive You're unsuited for the rage of war So pack up, go home you're through How could I make a man out of you?"
20,Cruella de Vil,101 Dalamatians,1961,"Cruella De Vil Cruella De Vil If she doesn't scare you No evil thing will To see her is to take a sudden chill Cruella, Cruella She's like a spider waiting for the kill Look out for Cruella De Vil  At first you think Cruella is a devil But after time has worn away the shock You come to realize You've seen her kind of eyes Watching you from underneath a rock  This vampire bat, this inhuman beast She ought to be locked up and never released The world was such a wholesome place until Cruella, Cruella De Vil"
19,What's This?,The Nightmare before Christmas,1993,"What's this? What's this? There's color everywhere What's this? There's white things in the air  What's this? I can't believe my eyes I must be dreaming Wake up, Jack, this isn't fair What's this?  What's this? What's this? There's something very wrong What's this? These people singing songs  What's this? The streets are lined with Little creatures laughing Everybody seems so happy Have I possibly gone daffy? What is this? What's this?  There's children throwing snowballs Instead of throwing heads They're busy building toys And absolutely no one's dead  There's frost on every window Oh, I can't believe my eyes And in my bones I feel the warmth That's coming from inside  Oh, look, what's this? They're hanging mistletoe, they kiss Why that looks so unique? Inspired They're gathering around to hear a story Roasting chestnuts on a fire What's this?  What's this? In here they've got a little tree, how queer And who would ever think And why?  They're covering it with tiny little things They've got electric lights on strings And there's a smile on everyone So, now, correct me if I'm wrong  This looks like fun This looks like fun Oh, could it be I got my wish? What's this?  Oh my, what now? The children are asleep But look, there's nothing underneath No ghouls, no witches here to scream and scare them Or ensnare them, only little cozy things Secure inside their dreamland  What's this? The monsters are all missing And the nightmares can't be found And in their place there seems to be Good feeling all around  Instead of screams, I swear I can hear music in the air The smell of cakes and pies Are absolutely everywhere  The sights, the sounds They're everywhereand all around I've never felt so good before This empty place inside of me is filling up I simply cannot get enough  I want it, oh, I want it Oh, I want it for my own I've got to know, I've got to know What is this place that I have found? What is this?  Christmas town? Hmm"
18,Hakuna Matata,The Lion King,1994,"Hakuna Matata! What a wonderful phrase Hakuna Matata! Ain't no passing craze It means no worries For the rest of your days It's our problem-free philosophy Hakuna Matata!  When he was a young warthog When I was a young warthog  He found his aroma lacked a certain appeal He could clear the savannah after every meal I'm a sensitive soul though I seem thick-skinned And it hurt that my friends never stood downwind  And, oh, the shame Thought of changin' my name And I got downhearted Every time that I... Hey, Pumbaa, not in front of the kids Oh, sorry   Hakuna Matata! What a wonderful phrase Hakuna Matata! Ain't no passing craze It means no worries For the rest of your days It's our problem-free philosophy Hakuna Matata!  Hakuna Matata, Hakuna Matata, Hakuna Matata, Hakuna Matata It means no worries For the rest of your days It's our problem-free philosophy Hakuna Matata! Hakuna Matata! Hakuna Matata! Hakuuuuuuna Matata! Hakuna Matata! Hakuna Matata! Hakuuuuna Matata! Hakuna Matata!"
17,You Can Fly,Peter Pan,1953,"Think of a wonderful thought Any merry little thought Think of Christmas, think of snow Think of sleigh bells Off you go like reindeer in the sky  You can fly! You can fly! You can fly!  Think of the happiest things It's the same as having wings Take the path that moonbeams make If the moon is still awake You'll see him wink his eye You can fly, you can fly! You can fly!  Up you go with a heigh and ho To the stars beyond the blue There's a Never Land waiting for you Where all your happy dreams come true Every dream that you dream will come true  When there's a smile in your heart There's no better time to start Think of all the joy you'll find When you leave the world behind And bid your cares goodbye You can fly, you can fly! You can fly, you can fly! You can fly!"
16,Bibbidi-Bobbidi-Boo,Cinderella,1950,"Sala-gadoola-menchicka-boo-la Bibbidi-bobbidi-boo Put 'em together and what have you got? Bibbidi-bobbidi-boo  Sala-gadoola-menchicka-boo-la Bibbidi-bobbidi-boo It'll do magic, believe it or not Bibbidi-bobbidi-boo  Now sala-gadoola means menchicka-boolaroo But the thingmabob that does the job is Bibbidi-bobbidi-boo  Sala-gadoola-menchicka-boo-la Bibbidi-bobbidi-boo Put 'em together and what have you got Bibbidi-bobbidi bibbidi-bobbidi bibbidi-bobbidi-boo"
