Organisation,Type,Acronym,Address,Zipcode,Latitude,Longitude,Website,Tel,Fax,Email,Enquiry/ Feedback Form,Parent Ministry
Accounting and Corporate Regulatory Authority,Statutory Board,ACRA,10 Anson Road #05-01/15 International Plaza Singapore 079903,79903,1.2755,103.8463,http://www.acra.gov.sg/,62486028 (ACRA Helpdesk),-,,http://www.acra.gov.sg/enquiry,MOF
"Agency for Science, Technology and Research",Statutory Board,A*STAR,1 Fusionopolis Way #20-10 Connexis North Singapore 138632,138632,1.2998,103.7876,http://a-star.edu.sg/,68266111,67771711,contact@a-star.edu.sg,,MTI
Agri-Food & Veterinary Authority,Statutory Board,AVA,"52, Jurong Gateway Road #14-01 Singapore 608550",608550,1.3326,103.7436,http://www.ava.gov.sg/,68052992 Lines For Public Enquiries/Feedback:,63341831,,www.ava.gov.sg/contactus,MND
Building & Construction Authority,Statutory Board,BCA,52 Jurong Gateway Road#11-01 Singapore 608550,608550,1.3325,103.7436,http://www.bca.gov.sg/,1800-3425222,63344287,bca_enquiry@bca.gov.sg,,MND
Casino Regulatory Authority,Statutory Board,CRA,"460 Alexandra Road, #12-01, PSA Building, Singapore 119963",119963,1.2742,103.8019,http://www.cra.gov.sg/,6501 7000,6273 0917,feedback@cra.gov.sg,,MHA
Central Provident Fund Board,Statutory Board,CPFB,"238B Thomson Road, #08-00 Tower B Novena Square, Singapore 307685",307685,1.319,103.8438,http://www.cpf.gov.sg/,1800 2271188,62503678 (General),,https://www.cpf.gov.sg/esvc/web/feedbacksubscription/index,MOM
Civil Aviation Authority of Singapore,Statutory Board,CAAS,Terminal 2 - 60 Airport Boulevard Singapore 819643,819643,1.3557,103.9884,http://www.caas.gov.sg/,65421122,65421231,qsm@caas.gov.sg,,MOT
Civil Service College,Statutory Board,CSC,31 North Buona Vista Road Singapore 275983,275983,1.3097,103.7917,http://www.cscollege.gov.sg/,68741733 (Main Line),68741735,cscollege@cscollege.gov.sg,,PSD
Committee for Private Education,Statutory Board,CPE,1 Marina Boulevard #18-01 One Marina Boulevard Singapore 018989,18989,1.282,103.8526,http://www.cpe.gov.sg/,6512 1140,-,CPE_CONTACT@cpe.gov.sg,,MOE
Competition and Consumer Commission of Singapore,Statutory Board,CCCS,45 Maxwell Road #09-01 The URA Centre Singapore 069118,69118,1.2795,103.845,http://www.cccs.gov.sg/,1800-3258282,62246929,CCCS_feedback@cccs.gov.sg,,MTI
Council for Estate Agencies,Statutory Board,CEA,480 Lorong 6 Toa Payoh #13-01 HDB Hub East Wing Singapore 310480,310480,1.332,103.8489,http://www.cea.gov.sg/,1800 643 2555,6643 2575,feedback@cea.gov.sg,,MND
Defence Science & Technology Agency,Statutory Board,DSTA,1 Depot Road Singapore 109679 ,109679,1.2804,103.8169,http://www.dsta.gov.sg/,68195333,68195564,feedback@dsta.gov.sg,,MINDEF
Economic Development Board,Statutory Board,EDB,250 North Bridge Road #28-00 Raffles City Tower Singapore 179101,179101,1.2942,103.8528,http://www.edb.gov.sg/,65-68326832,65-68326565,clientservices@edb.gov.sg,,MTI
Energy Market Authority,Statutory Board,EMA,991G Alexandra Road #01-29 & #02-29 Singapore 119975,119975,1.2747,103.8022,http://www.ema.gov.sg/,68358000,68358020,ema_enquiry@ema.gov.sg,,MTI
