year,Total Live-births,% change,zodiac,lag-12,diff-12,Resident Live-births,Residents abs change,Year Primary 1,Total Fertility Rate,Notes
1960,61775,,Mouse,,,na,,1967,5.76,
1961,59930,-2.99%,Ox,,,na,,1968,5.41,
1962,58977,-1.59%,Tiger,,,na,,1969,5.21,
1963,59530,0.94%,Rabbit,,,na,,1970,5.16,
1964,58217,-2.21%,Dragon,,,na,,1971,4.97,
1965,55725,-4.28%,Snake,,,na,,1972,4.66,
1966,54680,-1.88%,Horse,,,na,,1973,4.46,
1967,50560,-7.53%,Sheep,,,na,,1974,3.91,
1968,47241,-6.56%,Monkey,,,na,,1975,3.53,
1969,44562,-5.67%,Rooster,,,na,,1976,3.22,
1970,45934,3.08%,Dog,,,na,,1977,3.07,
1971,47088,2.51%,Pig,,,na,,1978,3.02,
1972,49678,5.50%,Mouse,,,na,,1979,3.04,
1973,48269,-2.84%,Ox,,,na,,1980,2.79,
1974,43268,-10.36%,Tiger,,,na,,1981,2.35,
1975,39948,-7.67%,Rabbit,,,na,,1982,2.07,
1976,42783,7.10%,Dragon,,,na,,1983,2.11,
1977,38364,-10.33%,Snake,,,na,,1984,1.82,
1978,39441,2.81%,Horse,,,na,,1985,1.79,
1979,40779,3.39%,Sheep,,,na,,1986,1.79,
1980,41217,1.07%,Monkey,,,40100,,1987,1.82,
1981,42250,2.51%,Rooster,,,41000,900,1988,1.78,
1982,42654,0.96%,Dog,,,41300,300,1989,1.74,
1983,40585,-4.85%,Pig,,,39300,-2000,1990,1.61,
1984,41556,2.39%,Mouse,,,40200,900,1991,1.62,
1985,42484,2.23%,Ox,,,41100,900,1992,1.61,
1986,38379,-9.66%,Tiger,,,37159,-3941,1993,1.43,
1987,43616,13.65%,Rabbit,,,42362,5203,1994,1.62,
1988,52957,21.42%,Dragon,,,51537,9175,1995,1.96,
1989,47669,-9.99%,Snake,,,46361,-5176,1996,1.75,
1990,51142,7.29%,Horse,,,49787,3426,1997,1.83,
1991,49114,-3.97%,Sheep,,,47805,-1982,1998,1.73,
1992,49402,0.59%,Monkey,,,47907,102,1999,1.72,
1993,50225,1.67%,Rooster,,,48739,832,2000,1.74,
1994,49554,-1.34%,Dog,,,48075,-664,2001,1.71,
1995,48635,-1.85%,Pig,,,46916,-1159,2002,1.67,
1996,48577,-0.12%,Mouse,,,46707,-209,2003,1.66,
1997,47333,-2.56%,Ox,,,45356,-1351,2004,1.61,
1998,43664,-7.75%,Tiger,38379,5285,41636,-3720,2005,1.48,
1999,43336,-0.75%,Rabbit,43616,-280,41327,-309,2006,1.47,
2000,46997,8.45%,Dragon,52957,-5960,44765,3438,2007,1.6,
2001,41451,-11.80%,Snake,47669,-6218,39281,-5484,2008,1.41,
2002,40760,-1.67%,Horse,51142,-10382,38555,-726,2009,1.37,
2003,37485,-8.03%,Sheep,49114,-11629,35474,-3081,2010,1.27,
2004,37174,-0.83%,Monkey,49402,-12228,35135,-339,2011,1.26,
2005,37492,0.86%,Rooster,50225,-12733,35528,393,2012,1.26,
2006,38317,2.20%,Dog,49554,-11237,36272,744,2013,1.28,
2007,39490,3.06%,Pig,48635,-9145,37074,802,2014,1.29,
2008,39826,0.85%,Mouse,48577,-8751,37277,203,2015,1.28,
2009,39570,-0.64%,Ox,47333,-7763,36925,-352,2016,1.22,
2010,37967,-4.05%,Tiger,43664,-5697,35129,-1796,2017,1.15,
2011,39654,4.44%,Rabbit,43336,-3682,36178,1049,2018,1.2,
2012,42663,7.59%,Dragon,46997,-4334,38641,2463,2019,1.29,
2013,39720,-6.90%,Snake,41451,-1731,35681,-2960,2020,1.19,
2014,42232,6.32%,Horse,40760,1472,37967,2286,2021,1.25,
2015,42185,-0.11%,Sheep,37485,4700,37861,-106,2022,1.24,
2016,41251,-2.21%,Monkey,37174,4077,36875,-986,2023,1.2,
2017,39615,-3.97%,Rooster,37492,2123,35444,-1431,2024,1.16,
2018,39039,-1.45%,Dog,38317,722,35040,-404,2025,1.14,
2019,39279,0.61%,Pig,39490,-211,35330,290,2026,1.14,https://www.straitstimes.com/singapore/politics/singapore-s-total-fertility-rate-hits-record-low-in-2023-falls-below-1-for-first-time
2020,38590,-1.75%,Mouse,39826,-1236,34233,-1097,2027,1.1,
2021,38672,0.21%,Ox,39570,-898,34183,-50,2028,1.12,
2022,35605,-7.93%,Tiger,37967,-2362,32290,-1893,2029,1.04,
2023,33541,-5.80%,Rabbit,39654,-6113,30510,-1780,2030,0.97,
2024,33703,0.48%,Dragon,42663,-8960,30808,298,2030,0.97,
2025,29864,-11.39%,Snake,39720,-9856,27393,-3415,2030,0.87,
