Month,Public Bus,MRT,LRT,source_page
Jan 2019,"4,250","3,462",218,1
Feb 2019,"4,010","3,248",206,1
Mar 2019,"4,111","3,383",209,1
Apr 2019,"4,189","3,400",213,1
May 2019,"4,199","3,359",215,1
Jun 2019,"3,840","3,246",194,1
Jul 2019,"4,300","3,551",218,1
Aug 2019,"4,163","3,419",211,1
Sep 2019,"4,117","3,444",208,1
Oct 2019,"4,170","3,431",211,1
Nov 2019,"4,052","3,394",203,1
Dec 2019,"3,775","3,256",186,1
Jan 2020,"4,068","3,272",201,2
Feb 2020,"3,816","2,897",187,2
Mar 2020,"3,485","2,618",172,2
Apr 2020,"1,486",868,66,2
May 2020,"1,187",602,47,2
Jun 2020,"2,126","1,249",98,2
Jul 2020,"2,752","1,808",133,2
Aug 2020,"2,981","1,964",144,2
Sep 2020,"3,092","2,106",151,2
Oct 2020,"3,202","2,213",151,2
Nov 2020,"3,147","2,264",156,2
Dec 2020,"3,198","2,417",159,2
Jan 2021,"3,354","2,383",169,3
Feb 2021,"3,388","2,392",170,3
Mar 2021,"3,454","2,472",173,3
Apr 2021,"3,501","2,503",176,3
May 2021,"2,649","1,753",129,3
Jun 2021,"2,508","1,627",118,3
Jul 2021,"2,951","1,915",145,3
Aug 2021,"2,938","1,944",145,3
Sep 2021,"2,918","2,080",147,3
Oct 2021,"2,665","1,828",134,3
Nov 2021,"2,811","2,017",147,3
Dec 2021,"2,987","2,306",159,3
Jan 2022,"3,254","2,357",174,4
Feb 2022,"3,000","2,164",160,4
Mar 2022,"3,177","2,366",170,4
Apr 2022,"3,443","2,592",183,4
May 2022,"3,492","2,706",186,4
Jun 2022,"3,456","2,815",180,4
Jul 2022,"3,572","2,818",188,4
Aug 2022,"3,718","2,954",196,4
Sep 2022,"3,698","3,030",194,4
Oct 2022,"3,611","2,959",193,4
Nov 2022,"3,656","3,109",196,4
Dec 2022,"3,425","3,036",183,4
Jan 2023,"3,604","3,000",196,5
Feb 2023,"3,855","3,283",212,5
Mar 2023,"3,764","3,242",205,5
Apr 2023,"3,710","3,142",202,5
May 2023,"3,819","3,283",208,5
Jun 2023,"3,549","3,157",190,5
Jul 2023,"3,859","3,366",210,5
Aug 2023,"3,949","3,423",213,5
Sep 2023,"3,804","3,328",204,5
Oct 2023,"3,887","3,337",207,5
Nov 2023,"3,738","3,289",200,5
Dec 2023,"3,432","3,070",182,5
Jan 2024,"4,006","3,446",219,6
Feb 2024,"3,878","3,341",211,6
Mar 2024,"3,858","3,386",207,6
Apr 2024,"3,932","3,392",215,6
May 2024,"3,846","3,347",211,6
Jun 2024,"3,586","3,237",195,6
Jul 2024,"3,990","3,604",220,6
Aug 2024,"3,947","3,571",217,6
Sep 2024,"3,869","3,479",212,6
Oct 2024,"3,904","3,502",215,6
Nov 2024,"3,747","3,408",205,6
Dec 2024,"3,480","3,225",187,6
Jan 2025,"3,815","3,391",212,7
Feb 2025,"3,969","3,560",220,7
Mar 2025,"3,789","3,404",209,7
Apr 2025,"3,912","3,500",218,7
May 2025,"3,845","3,442",213,7
Jun 2025,"3,580","3,358",195,7
Jul 2025,"4,025","3,691",221,7
Aug 2025,"4,001","3,668",215,7
Sep 2025,"3,899","3,530",210,7
Oct 2025,"3,909","3,581",211,7
Nov 2025,"3,818","3,495",204,7
Dec 2025,"3,544","3,261",186,7
