Top 10 Country,Country,Type of Visa
Singapore,Afghanistan,visa required
Singapore,Albania,visa-free
Singapore,Algeria,visa required
Singapore,Andorra,visa-free
Singapore,Angola,visa required
Singapore,Antigua and Barbuda,visa-free
Singapore,Argentina,visa-free
Singapore,Armenia,visa on arrival
Singapore,Australia,eTA
Singapore,Austria,visa-free
Singapore,Azerbaijan,visa on arrival
Singapore,Bahamas,visa-free
Singapore,Bahrain,visa on arrival
Singapore,Bangladesh,visa on arrival
Singapore,Barbados,visa-free
Singapore,Belarus,visa-free
Singapore,Belgium,visa-free
Singapore,Belize,visa-free
Singapore,Benin,visa required
Singapore,Bhutan,visa required
Singapore,Bolivia,visa on arrival
Singapore,Bosnia and Herzegovina,visa-free
Singapore,Botswana,visa-free
Singapore,Brazil,visa-free
Singapore,Brunei,visa-free
Singapore,Bulgaria,visa-free
Singapore,Burkina Faso,visa-free
Singapore,Burundi,visa required
Singapore,Cambodia,visa-free
Singapore,Cameroon,visa required
Singapore,Canada,eTA
Singapore,Cape Verde,visa-free
Singapore,Central African Republic,visa required
Singapore,Chad,visa required
Singapore,Chile,visa-free
Singapore,China,visa-free
Singapore,Colombia,visa-free
Singapore,Comoros,visa on arrival
Singapore,Congo,visa required
Singapore,Congo (Dem. Rep.),visa required
Singapore,Costa Rica,visa-free
Singapore,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Singapore,Croatia,visa-free
Singapore,Cuba,visa-free
Singapore,Cyprus,visa-free
Singapore,Czechia,visa-free
Singapore,Denmark,visa-free
Singapore,Djibouti,visa on arrival
Singapore,Dominica,visa-free
Singapore,Dominican Republic,visa-free
Singapore,Ecuador,visa-free
Singapore,Egypt,visa on arrival
Singapore,El Salvador,visa-free
Singapore,Equatorial Guinea,visa required
Singapore,Eritrea,visa required
Singapore,Estonia,visa-free
Singapore,Ethiopia,visa required
Singapore,Fiji,visa-free
Singapore,Finland,visa-free
Singapore,France,visa-free
Singapore,Gabon,visa required / eVisa
Singapore,Gambia,visa-free
Singapore,Georgia,visa-free
Singapore,Germany,visa-free
Singapore,Ghana,visa-free
Singapore,Greece,visa-free
Singapore,Grenada,visa-free
Singapore,Guatemala,visa-free
Singapore,Guinea,visa required
Singapore,Guinea-Bissau,visa on arrival
Singapore,Guyana,visa required
Singapore,Haiti,visa-free
Singapore,Honduras,visa-free
Singapore,Hong Kong,visa-free
Singapore,Hungary,visa-free
Singapore,Iceland,visa-free
Singapore,India,e-Visa
Singapore,Indonesia,visa-free
Singapore,Iran,visa on arrival
Singapore,Iraq,visa required
Singapore,Ireland,visa-free
Singapore,Israel,visa-free
Singapore,Italy,visa-free
Singapore,Jamaica,visa-free
Singapore,Japan,visa-free
Singapore,Jordan,visa on arrival
Singapore,Kazakhstan,visa-free
Singapore,Kenya,visa-free
Singapore,Kiribati,visa-free
Singapore,Kosovo,visa-free
Singapore,Kuwait,visa on arrival / eVisa
Singapore,Kyrgyzstan,visa-free
Singapore,Laos,visa-free
Singapore,Latvia,visa-free
Singapore,Lebanon,visa on arrival
Singapore,Lesotho,visa-free
Singapore,Liberia,visa required
Singapore,Libya,visa required
Singapore,Liechtenstein,visa-free
Singapore,Lithuania,visa-free
Singapore,Luxembourg,visa-free
Singapore,Macao,visa-free
Singapore,Macedonia (FYROM),visa-free
Singapore,Madagascar,visa on arrival
Singapore,Malawi,visa on arrival
Singapore,Malaysia,visa-free
Singapore,Maldives,visa on arrival
Singapore,Mali,visa required
Singapore,Malta,visa-free
Singapore,Marshall Islands,visa on arrival
Singapore,Mauritania,visa on arrival
Singapore,Mauritius,visa-free
Singapore,Mexico,visa-free
Singapore,Micronesia,visa-free
Singapore,Moldova,visa-free
Singapore,Monaco,visa-free
Singapore,Mongolia,visa-free
Singapore,Montenegro,visa-free
Singapore,Morocco,visa-free
Singapore,Mozambique,visa on arrival
Singapore,Myanmar [Burma],visa-free
Singapore,Namibia,visa-free
Singapore,Nauru,visa required
Singapore,Nepal,visa on arrival
Singapore,Netherlands,visa-free
Singapore,New Zealand,visa-free
Singapore,Nicaragua,visa-free
Singapore,Niger,visa required
Singapore,Nigeria,visa required
Singapore,North Korea,visa required
Singapore,Norway,visa-free
Singapore,Oman,visa on arrival
Singapore,Pakistan,visa required
Singapore,Palau,visa on arrival
Singapore,Palestinian Territories,visa-free
Singapore,Panama,visa-free
Singapore,Papua New Guinea,visa on arrival
Singapore,Paraguay,visa-free
Singapore,Peru,visa-free
Singapore,Philippines,visa-free
Singapore,Poland,visa-free
Singapore,Portugal,visa-free
Singapore,Qatar,Visa waiver on arrival
Singapore,Romania,visa-free
Singapore,Russian Federation,visa required
Singapore,Rwanda,visa-free
Singapore,Saint Kitts and Nevis,visa-free
Singapore,Saint Lucia,visa-free
Singapore,Samoa,visa on arrival
Singapore,San Marino,visa-free
Singapore,Sao Tome and Principe,visa required / eVisa
Singapore,Saudi Arabia,visa required
Singapore,Senegal,visa-free
Singapore,Serbia,visa-free
Singapore,Seychelles,visitor’s permit
Singapore,Sierra Leone,visa required
Singapore,Singapore,
Singapore,Slovakia,visa-free
Singapore,Slovenia,visa-free
Singapore,Solomon Islands,visa on arrival
Singapore,Somalia,visa required
Singapore,South Africa,visa-free
Singapore,South Korea,visa-free
Singapore,South Sudan,visa required
Singapore,Spain,visa-free
Singapore,Sri Lanka,visa on arrival
Singapore,St. Vincent and the Grenadines,visa-free
Singapore,Sudan,visa required
Singapore,Suriname,visa on arrival
Singapore,Swaziland,visa-free
Singapore,Sweden,visa-free
Singapore,Switzerland,visa-free
Singapore,Syria,visa required
Singapore,Taiwan,visa-free
Singapore,Tajikistan,visa required
Singapore,Tanzania,visa-free
Singapore,Thailand,visa-free
Singapore,Timor-Leste,visa on arrival
Singapore,Togo,visa on arrival
Singapore,Tonga,visa on arrival
Singapore,Trinidad and Tobago,visa-free
Singapore,Tunisia,visa-free
Singapore,Turkey,visa-free
Singapore,Turkmenistan,visa required
Singapore,Tuvalu,visa on arrival
Singapore,Uganda,visa-free
Singapore,Ukraine,visa on arrival
Singapore,United Arab Emirates,visa on arrival
Singapore,United Kingdom,visa-free
Singapore,United States of America,eTA
Singapore,Uruguay,visa-free
Singapore,Uzbekistan,visa required
Singapore,Vanuatu,visa-free
Singapore,Vatican City,visa-free
Singapore,Venezuela,visa required
Singapore,Viet Nam,visa-free
Singapore,Yemen,visa required
Singapore,Zambia,visa-free
Singapore,Zimbabwe,visa-free
Germany,Afghanistan,visa required
Germany,Albania,visa-free
Germany,Algeria,visa required
Germany,Andorra,visa-free
Germany,Angola,visa required
Germany,Antigua and Barbuda,visa-free
Germany,Argentina,visa-free
Germany,Armenia,visa-free
Germany,Australia,eTA
Germany,Austria,visa-free
Germany,Azerbaijan,visa required / eVisa
Germany,Bahamas,visa-free
Germany,Bahrain,visa on arrival
Germany,Bangladesh,visa on arrival
Germany,Barbados,visa-free
Germany,Belarus,visa-free
Germany,Belgium,visa-free
Germany,Belize,visa-free
Germany,Benin,visa required
Germany,Bhutan,visa required
Germany,Bolivia,visa-free
Germany,Bosnia and Herzegovina,visa-free
Germany,Botswana,visa-free
Germany,Brazil,visa-free
Germany,Brunei,visa-free
Germany,Bulgaria,visa-free
Germany,Burkina Faso,visa on arrival
Germany,Burundi,visa required
Germany,Cambodia,visa on arrival / eVisa
Germany,Cameroon,visa required
Germany,Canada,eTA
Germany,Cape Verde,visa on arrival
Germany,Central African Republic,visa required
Germany,Chad,visa required
Germany,Chile,visa-free
Germany,China,visa required
Germany,Colombia,visa-free
Germany,Comoros,visa on arrival
Germany,Congo,visa required
Germany,Congo (Dem. Rep.),visa required
Germany,Costa Rica,visa-free
Germany,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Germany,Croatia,visa-free
Germany,Cuba,visa required
Germany,Cyprus,visa-free
Germany,Czechia,visa-free
Germany,Denmark,visa-free
Germany,Djibouti,visa on arrival
Germany,Dominica,visa-free
Germany,Dominican Republic,visa-free
Germany,Ecuador,visa-free
Germany,Egypt,visa on arrival
Germany,El Salvador,visa-free
Germany,Equatorial Guinea,visa required
Germany,Eritrea,visa required
Germany,Estonia,visa-free
Germany,Ethiopia,visa on arrival
Germany,Fiji,visa-free
Germany,Finland,visa-free
Germany,France,visa-free
Germany,Gabon,visa required / eVisa
Germany,Gambia,visa-free
Germany,Georgia,visa-free
Germany,Germany,
Germany,Ghana,visa required
Germany,Greece,visa-free
Germany,Grenada,visa-free
Germany,Guatemala,visa-free
Germany,Guinea,visa required
Germany,Guinea-Bissau,visa on arrival
Germany,Guyana,visa-free
Germany,Haiti,visa-free
Germany,Honduras,visa-free
Germany,Hong Kong,visa-free
Germany,Hungary,visa-free
Germany,Iceland,visa-free
Germany,India,e-Visa
Germany,Indonesia,visa-free
Germany,Iran,visa on arrival
Germany,Iraq,visa required
Germany,Ireland,visa-free
Germany,Israel,visa-free
Germany,Italy,visa-free
Germany,Jamaica,visa-free
Germany,Japan,visa-free
Germany,Jordan,visa on arrival
Germany,Kazakhstan,visa-free
Germany,Kenya,visa on arrival / eVisa
Germany,Kiribati,visa-free
Germany,Kosovo,visa-free
Germany,Kuwait,visa on arrival / eVisa
Germany,Kyrgyzstan,visa-free
Germany,Laos,visa on arrival
Germany,Latvia,visa-free
Germany,Lebanon,visa on arrival
Germany,Lesotho,visa-free
Germany,Liberia,visa required
Germany,Libya,visa required
Germany,Liechtenstein,visa-free
Germany,Lithuania,visa-free
Germany,Luxembourg,visa-free
Germany,Macao,visa-free
Germany,Macedonia (FYROM),visa-free
Germany,Madagascar,visa on arrival
Germany,Malawi,visa on arrival
Germany,Malaysia,visa-free
Germany,Maldives,visa on arrival
Germany,Mali,visa required
Germany,Malta,visa-free
Germany,Marshall Islands,visa-free
Germany,Mauritania,visa on arrival
Germany,Mauritius,visa-free
Germany,Mexico,visa-free
Germany,Micronesia,visa-free
Germany,Moldova,visa-free
Germany,Monaco,visa-free
Germany,Mongolia,visa-free
Germany,Montenegro,visa-free
Germany,Morocco,visa-free
Germany,Mozambique,visa on arrival
Germany,Myanmar [Burma],visa required / eVisa
Germany,Namibia,visa-free
Germany,Nauru,visa required
Germany,Nepal,visa on arrival
Germany,Netherlands,visa-free
Germany,New Zealand,visa-free
Germany,Nicaragua,visa-free
Germany,Niger,visa required
Germany,Nigeria,visa required
Germany,North Korea,visa required
Germany,Norway,visa-free
Germany,Oman,visa on arrival
Germany,Pakistan,visa required
Germany,Palau,visa-free
Germany,Palestinian Territories,visa-free
Germany,Panama,visa-free
Germany,Papua New Guinea,visa on arrival
Germany,Paraguay,visa-free
Germany,Peru,visa-free
Germany,Philippines,visa-free
Germany,Poland,visa-free
Germany,Portugal,visa-free
Germany,Qatar,Visa waiver on arrival
Germany,Romania,visa-free
Germany,Russian Federation,visa required
Germany,Rwanda,visa on arrival
Germany,Saint Kitts and Nevis,visa-free
Germany,Saint Lucia,visa-free
Germany,Samoa,visa-free
Germany,San Marino,visa-free
Germany,Sao Tome and Principe,visa-free
Germany,Saudi Arabia,visa required
Germany,Senegal,visa-free
Germany,Serbia,visa-free
Germany,Seychelles,visitor’s permit
Germany,Sierra Leone,visa required
Germany,Singapore,visa-free
Germany,Slovakia,visa-free
Germany,Slovenia,visa-free
Germany,Solomon Islands,visa-free
Germany,Somalia,visa required
Germany,South Africa,visa-free
Germany,South Korea,visa-free
Germany,South Sudan,visa required
Germany,Spain,visa-free
Germany,Sri Lanka,eTA
Germany,St. Vincent and the Grenadines,visa-free
Germany,Sudan,visa required
Germany,Suriname,visa on arrival
Germany,Swaziland,visa-free
Germany,Sweden,visa-free
Germany,Switzerland,visa-free
Germany,Syria,visa required
Germany,Taiwan,visa-free
Germany,Tajikistan,visa required
Germany,Tanzania,visa on arrival
Germany,Thailand,visa-free
Germany,Timor-Leste,visa-free
Germany,Togo,visa on arrival
Germany,Tonga,visa-free
Germany,Trinidad and Tobago,visa-free
Germany,Tunisia,visa-free
Germany,Turkey,visa-free
Germany,Turkmenistan,visa required
Germany,Tuvalu,visa-free
Germany,Uganda,visa on arrival
Germany,Ukraine,visa-free
Germany,United Arab Emirates,visa-free
Germany,United Kingdom,visa-free
Germany,United States of America,eTA
Germany,Uruguay,visa-free
Germany,Uzbekistan,visa required
Germany,Vanuatu,visa-free
Germany,Vatican City,visa-free
Germany,Venezuela,visa-free
Germany,Viet Nam,visa-free
Germany,Yemen,visa required
Germany,Zambia,visa on arrival
Germany,Zimbabwe,visa on arrival
South Korea,Afghanistan,visa required
South Korea,Albania,visa-free
South Korea,Algeria,visa required
South Korea,Andorra,visa-free
South Korea,Angola,visa required
South Korea,Antigua and Barbuda,visa-free
South Korea,Argentina,visa-free
South Korea,Armenia,visa on arrival
South Korea,Australia,eTA
South Korea,Austria,visa-free
South Korea,Azerbaijan,visa on arrival
South Korea,Bahamas,visa-free
South Korea,Bahrain,visa on arrival
South Korea,Bangladesh,visa on arrival
South Korea,Barbados,visa-free
South Korea,Belarus,visa-free
South Korea,Belgium,visa-free
South Korea,Belize,visa-free
South Korea,Benin,visa required
South Korea,Bhutan,visa required
South Korea,Bolivia,visa on arrival
South Korea,Bosnia and Herzegovina,visa-free
South Korea,Botswana,visa-free
South Korea,Brazil,visa-free
South Korea,Brunei,visa-free
South Korea,Bulgaria,visa-free
South Korea,Burkina Faso,visa required
South Korea,Burundi,visa required
South Korea,Cambodia,visa on arrival / eVisa
South Korea,Cameroon,visa required
South Korea,Canada,eTA
South Korea,Cape Verde,visa on arrival
South Korea,Central African Republic,visa required
South Korea,Chad,visa required
South Korea,Chile,visa-free
South Korea,China,visa required
South Korea,Colombia,visa-free
South Korea,Comoros,visa on arrival
