Country_Code,Zipcode,Road_Name,Latitude,Longitude,geopoint
SG,018906,Straits Boulevard,1.2758,103.8496,POINT(103.8496 1.2758)
SG,018907,Straits Boulevard,1.2749,103.8517,POINT(103.8517 1.2749)
SG,018910,Marina Gardens Drive,1.2796,103.869,POINT(103.869 1.2796)
SG,018915,Central Boulevard,1.2737,103.8601,POINT(103.8601 1.2737)
SG,018916,Central Boulevard,1.2798,103.8515,POINT(103.8515 1.2798)
SG,018925,Park Street,1.2764,103.8546,POINT(103.8546 1.2764)
SG,018926,Park Street,1.2763,103.8554,POINT(103.8554 1.2763)
SG,018927,Park Street,1.2752,103.8537,POINT(103.8537 1.2752)
SG,018928,Park Street,1.2777,103.8503,POINT(103.8503 1.2777)
SG,018929,Park Street,1.275,103.8552,POINT(103.8552 1.275)
SG,018930,Marina South Drive,1.2754,103.867,POINT(103.867 1.2754)
SG,018935,Straits View,1.2774,103.8528,POINT(103.8528 1.2774)
SG,018936,Straits View,1.2779,103.8529,POINT(103.8529 1.2779)
SG,018937,Straits View,1.2771,103.8523,POINT(103.8523 1.2771)
SG,018940,Marina Boulevard,1.2803,103.8562,POINT(103.8562 1.2803)
SG,018946,Marina Coastal Drive,1.27,103.8573,POINT(103.8573 1.27)
SG,018947,Marina Coastal Drive,1.2661,103.8606,POINT(103.8606 1.2661)
SG,018948,Marina Coastal Drive,1.271,103.8624,POINT(103.8624 1.271)
SG,018951,Marina Gardens Drive,1.2799,103.8705,POINT(103.8705 1.2799)
SG,018953,Marina Gardens Drive,1.2829,103.8649,POINT(103.8649 1.2829)
SG,018955,Bayfront Avenue,1.2841,103.8595,POINT(103.8595 1.2841)
SG,018956,Bayfront Avenue,1.2824,103.8584,POINT(103.8584 1.2824)
SG,018957,Bayfront Avenue,1.2819,103.8591,POINT(103.8591 1.2819)
SG,018958,Bayfront Avenue,1.2842,103.859,POINT(103.859 1.2842)
SG,018959,Bayfront Avenue,1.2794,103.8587,POINT(103.8587 1.2794)
SG,018960,Marina View,1.2789,103.8512,POINT(103.8512 1.2789)
SG,018961,Marina View,1.2783,103.8509,POINT(103.8509 1.2783)
SG,018962,Marina View,1.2748,103.849,POINT(103.849 1.2748)
SG,018965,Central Boulevard,1.2803,103.8521,POINT(103.8521 1.2803)
SG,018969,Central Boulevard,1.2794,103.8528,POINT(103.8528 1.2794)
SG,018971,Bayfront Avenue,1.284,103.8608,POINT(103.8608 1.284)
SG,018972,Bayfront Avenue,1.2838,103.8587,POINT(103.8587 1.2838)
SG,018973,Bayfront Avenue,1.2852,103.86,POINT(103.86 1.2852)
SG,018974,Bayfront Avenue,1.2862,103.8593,POINT(103.8593 1.2862)
SG,018978,Marina Way,1.2767,103.8533,POINT(103.8533 1.2767)
SG,018979,Marina Way,1.2772,103.8537,POINT(103.8537 1.2772)
SG,018980,Marina Boulevard,1.2796,103.855,POINT(103.855 1.2796)
SG,018981,Marina Boulevard,1.2797,103.854,POINT(103.854 1.2797)
SG,018982,Marina Boulevard,1.2791,103.8544,POINT(103.8544 1.2791)
SG,018983,Marina Boulevard,1.2795,103.8538,POINT(103.8538 1.2795)
SG,018984,Marina Boulevard,1.28,103.8539,POINT(103.8539 1.28)
SG,018985,Marina Boulevard,1.2808,103.8527,POINT(103.8527 1.2808)
SG,018986,Marina Boulevard,1.2808,103.8527,POINT(103.8527 1.2808)
SG,018987,Marina Boulevard,1.2808,103.8527,POINT(103.8527 1.2808)
SG,018988,Marina Coastal Drive,1.2707,103.8632,POINT(103.8632 1.2707)
SG,018989,Marina Boulevard,1.2823,103.8526,POINT(103.8526 1.2823)
SG,019396,Marina Mall,1.2795,103.8682,POINT(103.8682 1.2795)
SG,019397,Marina Mall,1.275,103.8632,POINT(103.8632 1.275)
SG,019800,Marina Green,1.2766,103.8648,POINT(103.8648 1.2766)
SG,029996,Marina East Drive,1.294,103.877,POINT(103.877 1.294)
SG,029997,Marina East Drive,1.2835,103.8779,POINT(103.8779 1.2835)
SG,038970,Republic Avenue,1.2996,103.8639,POINT(103.8639 1.2996)
SG,038975,Republic Boulevard,1.2914,103.8639,POINT(103.8639 1.2914)
SG,038980,Esplanade Drive,1.2866,103.8546,POINT(103.8546 1.2866)
SG,038981,Esplanade Drive,1.2901,103.8552,POINT(103.8552 1.2901)
SG,038982,Temasek Boulevard,1.2935,103.8588,POINT(103.8588 1.2935)
SG,038983,Temasek Boulevard,1.2951,103.8585,POINT(103.8585 1.2951)
SG,038985,Temasek Boulevard,1.2945,103.858,POINT(103.858 1.2945)
SG,038986,Temasek Boulevard,1.2946,103.8597,POINT(103.8597 1.2946)
SG,038987,Temasek Boulevard,1.2954,103.8584,POINT(103.8584 1.2954)
SG,038988,Temasek Boulevard,1.2951,103.8596,POINT(103.8596 1.2951)
SG,038989,Temasek Boulevard,1.2956,103.859,POINT(103.859 1.2956)
SG,039190,Temasek Avenue,1.2935,103.8603,POINT(103.8603 1.2935)
SG,039192,Temasek Avenue,1.2927,103.8603,POINT(103.8603 1.2927)
SG,039193,Temasek Avenue,1.2938,103.8605,POINT(103.8605 1.2938)
SG,039194,Temasek Avenue,1.2929,103.8609,POINT(103.8609 1.2929)
SG,039392,Raffles Link,1.2913,103.8562,POINT(103.8562 1.2913)
SG,039393,Raffles Link,1.2924,103.8551,POINT(103.8551 1.2924)
SG,039593,Raffles Boulevard,1.2935,103.8573,POINT(103.8573 1.2935)
SG,039594,Raffles Boulevard,1.2913,103.8575,POINT(103.8575 1.2913)
SG,039595,Raffles Boulevard,1.2924,103.8588,POINT(103.8588 1.2924)
SG,039596,Raffles Boulevard,1.2927,103.8596,POINT(103.8596 1.2927)
SG,039797,Raffles Avenue,1.2906,103.8585,POINT(103.8585 1.2906)
SG,039799,Raffles Avenue,1.2907,103.8601,POINT(103.8601 1.2907)
SG,039801,Raffles Avenue,1.2903,103.8591,POINT(103.8591 1.2903)
SG,039802,Raffles Avenue,1.2896,103.856,POINT(103.856 1.2896)
SG,039803,Raffles Avenue,1.2897,103.8629,POINT(103.8629 1.2897)
SG,039805,Raffles Avenue,1.2892,103.859,POINT(103.859 1.2892)
SG,048416,Cross Street,1.2821,103.8486,POINT(103.8486 1.2821)
SG,048417,Cross Street,1.2827,103.8482,POINT(103.8482 1.2827)
SG,048418,Cross Street,1.2816,103.8489,POINT(103.8489 1.2816)
SG,048421,Cross Street,1.2842,103.8467,POINT(103.8467 1.2842)
SG,048422,Cross Street,1.2837,103.8475,POINT(103.8475 1.2837)
SG,048423,Cross Street,1.2835,103.8469,POINT(103.8469 1.2835)
SG,048424,Cross Street,1.2824,103.849,POINT(103.849 1.2824)
SG,048441,Telok Ayer Street,1.2829,103.8493,POINT(103.8493 1.2829)
SG,048462,Telok Ayer Street,1.2832,103.8488,POINT(103.8488 1.2832)
SG,048464,Telok Ayer Street,1.283,103.8487,POINT(103.8487 1.283)
SG,048466,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048467,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048468,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048469,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048470,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048471,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048472,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048473,Telok Ayer Street,1.2827,103.8486,POINT(103.8486 1.2827)
SG,048474,Telok Ayer Street,1.2825,103.8485,POINT(103.8485 1.2825)
SG,048508,South Canal Road,1.2858,103.8498,POINT(103.8498 1.2858)
SG,048542,Robinson Road,1.282,103.8511,POINT(103.8511 1.282)
SG,048543,Robinson Road,1.2824,103.851,POINT(103.851 1.2824)
SG,048544,Robinson Road,1.2823,103.8508,POINT(103.8508 1.2823)
