rank,city,country,arrivals_2017,arrivals_2018
1,Hong Kong,Hong Kong,27880300,29827200
2,Bangkok,Thailand,22453900,23688800
3,London,England,19827800,20715900
4,Singapore,Singapore,17618800,18551200
5,Macau,Macau,17337200,18931400
6,Paris,France,15834200,16863500
7,Dubai,United Arab Emirates,15790000,16658500
8,New York City,USA,13100000,13500000
9,Kuala Lumpur,Malaysia,12843500,13434000
10,Shenzhen,China,12075100,12437300
11,Phuket,Thailand,11613100,11945500
12,Istanbul,Turkey,10730300,12121100
13,Delhi,India,10157000,12505300
14,Tokyo,Japan,9549400,9896300
15,Rome,Italy,9531600,9703200
16,Antalya,Turkey,9482400,10729300
17,Taipei,Taiwan,9273300,9783300
18,Guangzhou,China,9004800,9392000
19,Mumbai,India,8984900,10670100
20,Prague,Czech Republic,8806700,9038900
