english	mandarin
"""Coverage for Life, Coverage for All"""	终身受保，人人受保
"""Don't Drive to Drink. And ""You'll Never Drink and Drive."""	“不要开车去喝酒就可避免酒后开车。”
"""Foreign Equity Investment in Singapore"" Report"	《新加坡外来投资》报告
"""Key Household Income Trends"" Report"	《住户收入主要趋势》报告
"""Made in Singapore"" flea market"	“新加坡制造跳蚤市场”
"""Monthly Digest of Statistics, Singapore"""	《新加坡统计月刊》
"""Multi-polar, multi-support"" strategy"	多点多极支撑发展战略
"""My Charity"" page"	"""我的慈善""网页"
"""Population Trends"" Report"	《人口趋势》报告
"""Really Worth It "" Hawker List"	“最物有所值”小贩名单
"""Singapore's Corporate Sector"" Report"	《新加坡企业》报告
"""Singapore's International Trade in Services"" Report"	《新加坡国际服务贸易》报告
"""Singapore's Investment Abroad"" Report"	《新加坡对外投资》报告
"""Statistics on Marriages and Divorces"" Report"	《婚姻与离婚统计》报告
"""Yearbook of Statistics, Singapore"" (YOS)"	《新加坡统计年鉴》
(Regulatory) Sandboxes	（监管）沙盒
“Adapt and Grow” Initiative	应变与提升计划
“Attach and Train” Initiative	实习与培训计划
10% Energy Challenge	10%省电大挑战
10-litre Challenge	十公升挑战
10-Year Clean Up Project	十年的清理河道计划
1st Sergeant ((1SG))	一级上士
1st Warrant Officer (1WO)	一级准尉
2nd Lieutenant (2LT)	少尉
2nd Minister for Defence	国防部第二部长
2nd Sergeant (2SG)	二级上士
2nd Warrant Officer (2WO)	二级准尉
2-room Flexi Scheme	二房式灵活计划
350-Metre Wide Marina Channel	宽350米的滨海海峡
3P approach	民间、私人企业与公共部门三方合作模式
3P Concept/Approach	三管齐下的概念
3P Network	3P网络
3P Partnership Fund	'民-资-政'三边合作项目基金
3rd Sergeant (3SG)	三级上士
3rd Warrant Officer (3WO)	三级准尉
50% Reimbursement Scheme	半额补还计划
A Caring and Cohesive Society	温馨团结的社会
A Fiscally Sustainable and Secure Future	可持续的财政与安稳的未来
A Global City And Home For All	全球都市，温馨家园
A Nation's March	爱国步操曲
A Smart, Green and Liveable City	宜居绿色智慧城市
A Vibrant and Innovative Economy	欣欣向荣的创新经济
ABC Water project	"""活跃，美丽，干净""水源计划"
ABINGDON ROAD	爱明敦路
Absentee payroll	缺勤薪金补贴
Abu Dhabi Singapore Joint Forum (ADSJF)	阿布扎比-新加坡联合论坛
Academy of Singapore Teachers (AST)	新加坡教师学院
Accelerating Energy Storage for Singapore Programme (ACCESS)	加速推动能源储存系统计划
Access Pass	通行证
Accessibility Fund	无障碍建设基金
Accessibility Masterplan	无障碍总蓝图
Accession to the UN Convention on the Rights of Persons with Disabilities	加入联合国残疾人权利公约
Accountancy Sector Development Fund (ASDF)	会计业发展基金
Accountant-General	会计总长
Accountant-General's Department	会计署
Accounting And Corporate Regulatory Authority (ACRA)	新加坡会计与企业管制局 (会计企管局)
Accreditation Council for the Dating Industry	红娘业鉴定委员会
Accreditation Criteria and Standards	鉴定准则及标准
Accreditation Framework	鉴定架构
Accreditation@IMDA programme	资信媒体局鉴定计划
Accuracy Label	准确标签
ACE The Place Community Club	意德坊民众俱乐部
Acknowledgement page	确认网页
Acquire and utilise deep skills	掌握并善用精深技能
Acquisition Committee of the National Gallery Singapore	国家美术馆收购小组
Act of Parliament	法令
Action Community for Entrepreneurship (ACE)	创业行动社群
Active ageing	活跃乐龄生活
Active Ageing and Family Life Division	活跃乐龄与家庭生活署
Active Ageing Committee	活跃乐龄委员会
Active Agers' Games	活跃乐龄竞赛
Active Participation	全民共庆
Active Retirees	活跃退休人士
Activities of daily living	日常生活活动
Acute care	急症护理
ADAM DRIVE	亚当通道
ADAM PARK	亚当园
ADAM ROAD	亚当路
ADAM UNDERPASS	亚当地下车道
Adapt and Grow	应变与提升计划
Additional Compensation	额外赔偿金
Additional Growth Dividends	额外增长分红
Additional Land Premium	额外土地溢价
Additional Medisave contributions	额外保健储蓄缴交额
Additional Premium	附加保费
Additional Premium Support (APS)	额外保费援助
Additional private insurance coverage	额外私人受保项目
Additional Registration Fee (ARF)	汽车附加注册费
Additional Withdrawal Limit	保健储蓄额外提款顶限
Address of Thanks	致谢词
ADIS ROAD	爱蒂丝路
Adjourn	休会
Adjournment of Debate	辩论中止
Adjournment of Parliament	国会休会
Adjournment to Debate a Definite Matter of Urgent Public Importance	休会以辩论有关重要公众利益的紧急事宜
Adjunct Teacher	辅助教师
ADMIRALTY DRIVE	海军部通道
ADMIRALTY LANE	海军部巷
ADMIRALTY LINK	海军部连路
Admiralty MRT Station	海军部地铁站
ADMIRALTY ROAD	海军部路
ADMIRALTY ROAD EAST	海军部东路
ADMIRALTY ROAD WEST	海军部西路
ADMIRALTY STREET	海军部街
Admiralty West Prison	海军部西监狱
Admonition	训诫
Adoption leave	领养假
Adoption of Children Act	领养法令
Adult Disability Hostels	成年残疾人士宿舍
Adult Monthly Travel Pass	成人月票
Adult Probation Case Committee	成人缓刑个案委员会
Advance in Review Order	国庆齐步操
Advanced Cardiac Life Support	高级心脏生命支持
Advanced Certificate in Community Leadership	高级社区领导证书
Advanced Certificate in Senior Wellness Programme	高级康乐证书课程
Advanced Driving Theory	高级驾驶理论
Advanced Elective Modules	高级选修单元
Advanced Manufacturing	先进制造业
Advanced Maritime Leaders Programme	高级海事业领导课程
Advanced meter	智能电表
Advanced Trauma Life Support	高级创伤生命支持
Advertising Standards Authority of Singapore (ASAS)	新加坡广告标准管理局
Advisory Committee For Moneylending Issues (ACMI)	放贷课题咨询委员会
Advisory Committee for Move On and Filming Orders	书面撤离警告与禁拍令咨询委员会
Advisory Committee on Chinese Programmes (ACCESS)	华文节目咨询委员会
Aerospace Industry Induction Programme (AIIP)	航空业诱发计划
