agegroup,dwelling,value,year
Residents,Total HDB Dwellings,2787664,2000
Residents,Condominiums & Other Apartments,207005,2000
Residents,Landed Properties,241684,2000
Residents,Other Types Of Dwelling,37010,2000
0-4 Years,Total HDB Dwellings,198145,2000
0-4 Years,Condominiums & Other Apartments,14509,2000
0-4 Years,Landed Properties,11452,2000
0-4 Years,Other Types Of Dwelling,1599,2000
5-9 Years,Total HDB Dwellings,218817,2000
5-9 Years,Condominiums & Other Apartments,18080,2000
5-9 Years,Landed Properties,17418,2000
5-9 Years,Other Types Of Dwelling,2259,2000
10-14 Years,Total HDB Dwellings,197568,2000
10-14 Years,Condominiums & Other Apartments,16838,2000
10-14 Years,Landed Properties,19093,2000
10-14 Years,Other Types Of Dwelling,1853,2000
15-19 Years,Total HDB Dwellings,180828,2000
15-19 Years,Condominiums & Other Apartments,12263,2000
15-19 Years,Landed Properties,16587,2000
15-19 Years,Other Types Of Dwelling,1608,2000
20-24 Years,Total HDB Dwellings,183046,2000
20-24 Years,Condominiums & Other Apartments,10869,2000
20-24 Years,Landed Properties,16306,2000
20-24 Years,Other Types Of Dwelling,2015,2000
25-29 Years,Total HDB Dwellings,234929,2000
25-29 Years,Condominiums & Other Apartments,12701,2000
25-29 Years,Landed Properties,16814,2000
25-29 Years,Other Types Of Dwelling,2717,2000
30-34 Years,Total HDB Dwellings,255755,2000
30-34 Years,Condominiums & Other Apartments,17554,2000
30-34 Years,Landed Properties,14380,2000
30-34 Years,Other Types Of Dwelling,2601,2000
35-39 Years,Total HDB Dwellings,275959,2000
35-39 Years,Condominiums & Other Apartments,25009,2000
35-39 Years,Landed Properties,18592,2000
35-39 Years,Other Types Of Dwelling,3061,2000
40-44 Years,Total HDB Dwellings,262232,2000
40-44 Years,Condominiums & Other Apartments,24430,2000
40-44 Years,Landed Properties,22748,2000
40-44 Years,Other Types Of Dwelling,3010,2000
45-49 Years,Total HDB Dwellings,217917,2000
45-49 Years,Condominiums & Other Apartments,19091,2000
45-49 Years,Landed Properties,22423,2000
45-49 Years,Other Types Of Dwelling,2770,2000
50-54 Years,Total HDB Dwellings,171020,2000
50-54 Years,Condominiums & Other Apartments,13333,2000
50-54 Years,Landed Properties,19781,2000
50-54 Years,Other Types Of Dwelling,2523,2000
55-59 Years,Total HDB Dwellings,104748,2000
55-59 Years,Condominiums & Other Apartments,6746,2000
55-59 Years,Landed Properties,11595,2000
55-59 Years,Other Types Of Dwelling,1972,2000
60-64 Years,Total HDB Dwellings,93037,2000
60-64 Years,Condominiums & Other Apartments,5228,2000
60-64 Years,Landed Properties,10400,2000
60-64 Years,Other Types Of Dwelling,1838,2000
65-69 Years,Total HDB Dwellings,74218,2000
65-69 Years,Condominiums & Other Apartments,3724,2000
65-69 Years,Landed Properties,8381,2000
65-69 Years,Other Types Of Dwelling,1982,2000
70-74 Years,Total HDB Dwellings,55028,2000
