Name,Type,GenderMix,Area,Zone,PostalCode,Latitude,Longitude,PlacestakenuptillPhase2B
Admiralty Primary School,Government,Mixed,Woodlands,North,738907,1.4427,103.7995,130
Ahmad Ibrahim Primary School,Government,Mixed,Yishun,North,768643,1.4333,103.8321,51
Ai Tong School,"Government-aided, SAP",Mixed,Bishan,South,579646,1.3603,103.8321,302
Alexandra Primary School,Government,Mixed,Bukit Merah,South,159016,1.2913,103.8233,82
Anchor Green Primary School,Government,Mixed,Sengkang,North,544969,1.3913,103.8863,101
Anderson Primary School,Government,Mixed,Ang Mo Kio,North,569785,1.3838,103.8414,166
Anglo-Chinese School (Junior),Government-aided,Boys,Central,South,227988,1.3098,103.8409,211
Anglo-Chinese School (Primary),Government-aided,Boys,Novena,South,309918,1.3182,103.8357,190
Angsana Primary School,Government,Mixed,Tampines,East,529366,1.3482,103.9512,29
Ang Mo Kio Primary School,Government,Mixed,Ang Mo Kio,South,569920,1.3697,103.8395,57
Balestier Hill Primary School,Government,Mixed,Novena,South,329927,1.3265,103.8445,0
Beacon Primary School,Government,Mixed,Bukit Panjang,West,679944,1.3843,103.7731,86
Bedok Green Primary School,Government,Mixed,Bedok,East,469317,1.3241,103.9372,98
Bendemeer Primary School,Government,Mixed,Kallang,South,339948,1.3215,103.8657,80
Blangah Rise Primary School,Government,Mixed,Bukit Merah,South,109100,1.2762,103.8092,14
Boon Lay Garden Primary School,Government,Mixed,Jurong West,West,649930,1.3433,103.7135,84
Bukit Panjang Primary School,Government,Mixed,Bukit Panjang,West,679676,1.3739,103.7693,165
Bukit Timah Primary School,Government,Mixed,Bukit Timah,West,598112,1.3371,103.7668,58
Bukit View Primary School,Government,Mixed,Bukit Batok,West,659634,1.3464,103.7538,73
Canberra Primary School,Government,Mixed,Sembawang,North,757714,1.4514,103.8148,164
Canossa Convent Primary School,Government-aided,Girls,Geylang,East,387621,1.3261,103.8828,13
Cantonment Primary School,Government,Mixed,Bukit Merah,South,88256,1.2751,103.8403,71
Casuarina Primary School,Government,Mixed,Pasir Ris,East,518935,1.3722,103.9574,104
Catholic High School (Primary),"Government-aided, SAP",Boys,Bishan,South,579767,1.3556,103.8451,216
Cedar Primary School,Government,Mixed,Toa Payoh,South,349700,1.335,103.8755,45
Changkat Primary School,Government,Mixed,Tampines,East,529896,1.3406,103.9517,59
CHIJ (Katong) Primary,Government-aided,Girls,Bedok,East,424821,1.3069,103.9108,107
CHIJ (Kellock),Government-aided,Girls,Bukit Merah,South,149059,1.3011,103.8009,89
CHIJ Our Lady of Good Counsel,Government-aided,Girls,Serangoon,South,558979,1.3578,103.8634,52
CHIJ Our Lady of the Nativity,Government-aided,Girls,Hougang,South,534793,1.3728,103.8982,140
CHIJ Our Lady Queen of Peace,Government-aided,Girls,Bukit Panjang,West,679287,1.367,103.7675,61
CHIJ Primary (Toa Payoh),Government-aided,Girls,Toa Payoh,South,319765,1.3334,103.8433,172
CHIJ St. Nicholas Girls' School,"Government-aided, SAP",Girls,Ang Mo Kio,South,569405,1.3752,103.8344,186
Chongfu School,Government-aided,Mixed,Yishun,North,768959,1.4387,103.8401,226
Chongzheng Primary School,Government,Mixed,Tampines,East,529392,1.351,103.9517,107
Chua Chu Kang Primary School,Government,Mixed,Chua Chu Kang,West,689905,1.3773,103.7418,118
Clementi Primary School,Government,Mixed,Clementi,West,129903,1.3163,103.7635,109
Compassvale Primary School,Government,Mixed,Sengkang,North,545091,1.3951,103.8981,117
Concord Primary School,Government,Mixed,Chua Chu Kang,West,689814,1.3806,103.7366,126
Coral Primary School,Government,Mixed,Pasir Ris,East,518902,1.3678,103.9507,0
Corporation Primary School,Government,Mixed,Jurong West,West,648347,1.3507,103.7076,79
Da Qiao Primary School,Government,Mixed,Ang Mo Kio,South,569185,1.3718,103.8584,0
Damai Primary School,Government,Mixed,Bedok,East,479225,1.3361,103.9202,51
Dazhong Primary School,Government,Mixed,Bukit Batok,West,659441,1.3589,103.749,73
De La Salle School,Government-aided,Mixed,Chua Chu Kang,West,689285,1.394,103.7439,132
East Coast Primary School,Government,Mixed,Bedok,East,469031,1.3293,103.9189,0
East Spring Primary School,Government,Mixed,Tampines,East,529258,1.3537,103.9619,71
East View Primary School,Government,Mixed,Tampines,East,528907,1.3467,103.9391,0
Edgefield Primary School,Government,Mixed,Punggol,North,828869,1.3999,103.9083,102
Elias Park Primary School,Government,Mixed,Pasir Ris,East,518866,1.3745,103.9458,66
Endeavour Primary School,Government,Mixed,Sembawang,North,757521,1.4549,103.8174,95
Eunos Primary School,Government,Mixed,Geylang,East,419529,1.3242,103.9054,41
Evergreen Primary School,Government,Mixed,Woodlands,North,738908,1.4442,103.7943,101
Fairfield Methodist School (Primary),Government-aided,Mixed,Dover,South,139648,1.3002,103.7847,236
Farrer Park Primary School,Government,Mixed,Kallang,South,217567,1.3119,103.8511,29
Fengshan Primary School,Government,Mixed,Bedok,East,469680,1.3309,103.9319,91
Fernvale Primary School,Government,Mixed,Sengkang,North,797701,1.3898,103.8735,102
First Toa Payoh Primary School,Government,Mixed,Toa Payoh,South,319252,1.3399,103.8562,18
Frontier Primary School,Government,Mixed,Jurong West,West,648200,1.3371,103.6989,130
Fuchun Primary School,Government,Mixed,Woodlands,North,739063,1.4293,103.7781,100
Fuhua Primary School,Government,Mixed,Jurong East,West,609647,1.3359,103.7367,96
Gan Eng Seng Primary School,Government,Mixed,Bukit Merah,South,158901,1.2867,103.8158,74
Geylang Methodist School (Primary),Government-aided,Mixed,Geylang,East,389706,1.3177,103.8844,120
Gongshang Primary School,Government,Mixed,Tampines,East,529176,1.3574,103.9502,168
Greendale Primary School,Government,Mixed,Punggol,North,828848,1.3967,103.912,91
Greenridge Primary School,Government,Mixed,Bukit Panjang,West,677744,1.3865,103.7676,98
Greenwood Primary School,Government,Mixed,Woodlands,North,737942,1.4404,103.8042,87
Guangyang Primary School,Government,Mixed,Bishan,South,579806,1.3454,103.8506,23
Haig Girls' School,Government,Girls,Geylang,East,427072,1.3112,103.9036,77
Holy Innocents' Primary School,"Government-aided, SAP",Mixed,Hougang,South,569869,1.376,103.8573,224
Henry Park Primary School,Government,Mixed,Bukit Timah,West,278790,1.3176,103.784,253
Hong Wen School,"Government-aided, SAP",Mixed,Kallang,South,327829,1.3212,103.8572,157
Horizon Primary School,Government,Mixed,Punggol,North,828819,1.3993,103.9138,121
Hougang Primary School,Government,Mixed,Hougang,North,534238,1.3781,103.8815,127
