row,SCHNAME,zipcode,area,zone,type,latitude,longitude,School,Rank2017,IB,IP,SAP,Girls,Boys,Co-ed,O-level track,PSLE2017 Cut Off,GenderMix
137,NANYANG GIRLS' HIGH SCHOOL,288683,BUKIT TIMAH,West ,Independent,1.331,103.8026,Nanyang Girls’ High School,1,N,Y,Y,Y,N,N,,264,GIRLS
67,RAFFLES GIRLS' SCHOOL (SECONDARY),259978,SECONDARY,South,Independent,1.3124,103.8291,Raffles Girls’ School (Secondary),2,N,Y,N,Y,N,N,,261,GIRLS
152,RAFFLES INSTITUTION,575954,BISHAN,South,Independent,1.345712,103.8436823,Raffles Institution,3,N,Y,N,N,Y,N,,260,BOYS
145,HWA CHONG INSTITUTION,269734,BUKIT TIMAH,West ,Independent,1.3264,103.8069,Hwa Chong Institution,4,N,Y,Y,N,Y,N,,259,BOYS
66,METHODIST GIRLS' SCHOOL (SECONDARY),599986,SECONDARY,West ,Independent,1.3336,103.7828,Methodist Girls’ School (Secondary),4,Y,N,N,Y,N,N,255,259,GIRLS
148,CHIJ ST. NICHOLAS GIRLS' SCHOOL,569405,ANG MO KIO,North,Government-Aided,1.3752,103.8344,CHIJ St. Nicholas Girls’ School,6,N,Y,Y,Y,N,N,253,257,GIRLS
149,DUNMAN HIGH SCHOOL,436895,KALLANG,East ,Government,1.2981,103.8829,Dunman High School,6,N,Y,Y,N,N,Y,,257,CO-ED
151,ANGLO-CHINESE SCHOOL (INDEPENDENT),139650,INDEPENDENT,South,Independent,1.3016,103.7805,Anglo-Chinese School (Independent),8,Y,N,N,N,Y,N,250,256,BOYS
143,NATIONAL JUNIOR COLLEGE,288913,BUKIT TIMAH,South,Government,1.3297,103.8053,National Junior College,8,N,Y,N,N,N,Y,,256,CO-ED
9,CEDAR GIRLS' SECONDARY SCHOOL,349692,TOA PAYOH,East ,Government,1.3347,103.875,Cedar Girls’ Secondary School,10,N,Y,N,Y,N,N,250,254,GIRLS
146,ST. JOSEPH'S INSTITUTION,308274,NOVENA,South,Independent,1.3238,103.8293,St. Joseph’s Institution,11,Y,N,N,N,Y,N,245,253,BOYS
141,CATHOLIC HIGH SCHOOL,579767,BISHAN,North,Government-Aided,1.3556,103.8451,Catholic High School,12,N,Y,Y,N,Y,N,248,252,BOYS
138,SINGAPORE CHINESE GIRLS' SCHOOL,309437,NOVENA,North,Independent,1.3207,103.8269,Singapore Chinese Girls’ School,12,N,Y,N,Y,N,N,252,252,GIRLS
44,VICTORIA SCHOOL,448880,BEDOK,East ,Government,1.3085,103.9261,Victoria School,12,N,Y,N,N,Y,N,245,252,BOYS
150,RIVER VALLEY HIGH SCHOOL,649961,JURONG WEST,West ,Government,1.3449,103.7085,River Valley High School,15,N,Y,Y,N,N,Y,,251,CO-ED
