Industry,Role,Minimum,Median,Maximum
Chemicals and Engineering,Chief Financial Officer,250,325,400
Chemicals and Engineering,Chief Operating Officer,300,350,400
Chemicals and Engineering,Chief Executive Officer,400,500,600
Chemicals and Engineering,Customer Service Officer,36,54,68
Chemicals and Engineering,Customer Service Manager,66,78,81
Chemicals and Engineering,Customer Service Lead,72,82,96
Chemicals and Engineering,Call Center Supervisor,42,57,66
Chemicals and Engineering,Aftersales Manager,72,82,84
Chemicals and Engineering,Automation Engineer,65,70,75
Chemicals and Engineering,Senior Automation Engineer,70,75,80
Chemicals and Engineering,Automation Manager,117,120,156
Chemicals and Engineering,Chemist,52,70,91
Chemicals and Engineering,R&D Engineer,65,70,75
Chemicals and Engineering,R&D Manager,104,130,156
Chemicals and Engineering,R&D Director,195,234,260
Chemicals and Engineering,Application / Technical Services Engineer,52,70,91
Chemicals and Engineering,Application / Technical Services Manager,91,110,156
Chemicals and Engineering,EHS Engineer,60,70,75
Chemicals and Engineering,EHS Manager,104,117,120
Chemicals and Engineering,EHS Director,195,220,286
Chemicals and Engineering,Maintenance Engineer,50,53,65
Chemicals and Engineering,Facilities Engineer,50,53,65
Chemicals and Engineering,Facilities Manager,90,100,120
Chemicals and Engineering,Field Service Engineer,50,53,65
Chemicals and Engineering,Field Service Manager,104,110,120
Chemicals and Engineering,Project Engineer,58,70,78
Chemicals and Engineering,Project Manager,84,104,117
Chemicals and Engineering,Project Director,120,200,260
Chemicals and Engineering,Chemical Engineer,58,65,70
Chemicals and Engineering,Electrical Engineer,58,65,70
Chemicals and Engineering,Mechanical Engineer,58,65,70
Chemicals and Engineering,Senior Engineer,71,80,97
Chemicals and Engineering,Engineering Manager,104,125,156
Chemicals and Engineering,Process Engineer,50,53,65
Chemicals and Engineering,Process Manager,104,110,120
Chemicals and Engineering,Operations Manager,104,130,156
Chemicals and Engineering,Operations Director,195,220,300
Chemicals and Engineering,Plant Manager,170,195,260
Chemicals and Engineering,Manufacturing Engineer,50,53,65
Chemicals and Engineering,Manufacturing Manager,104,110,120
Chemicals and Engineering,Regional Product Stewardship Manager,110,120,143
Chemicals and Engineering,Regional Regulatory Affairs Manager,110,120,143
Chemicals and Engineering,QA Engineer,50,53,65
Chemicals and Engineering,QA Manager,104,110,120
Chemicals and Engineering,QA Director,182,208,260
Chemicals and Engineering,Test Engineer,58,62,68
Chemicals and Engineering,Test Manager,104,123,143
Chemicals and Engineering,Application Engineer,65,71,91
Chemicals and Engineering,Application Manager,104,123,143
Chemicals and Engineering,Finance / Business Analyst,48,66,96
Chemicals and Engineering,Senior Finance / Business Analyst,66,85,100
Chemicals and Engineering,Financial Planning & Analysis (FP&A) Manager,95,115,130
Chemicals and Engineering,Financial Planning & Analysis (FP&A) Director,150,200,230
Chemicals and Engineering,Business Controller,104,156,210
Chemicals and Engineering,Pricing Manager,90,100,130
Chemicals and Engineering,Internal Auditor,54,60,75
Chemicals and Engineering,Senior Internal Auditor,72,85,100
Chemicals and Engineering,Internal Audit Manager,91,110,130
Chemicals and Engineering,Internal Audit Director,168,195,234
Chemicals and Engineering,Risk Governance and Compliance Manager,91,110,156
Chemicals and Engineering,Head of Risk Governance and Compliance,182,195,260
Chemicals and Engineering,Internal Control Manager,84,110,120
Chemicals and Engineering,Enterprise Risk Management Manager,91,110,169
Chemicals and Engineering,Accounts Administrator,30,33,36
Chemicals and Engineering,Accounts Executive,36,46,48
Chemicals and Engineering,"Accountant, Accounts Payable / Receivable",42,56,72
Chemicals and Engineering,"Manager, Accounts Payable / Receivable",84,91,120
Chemicals and Engineering,Credit Control Executive,36,46,60
Chemicals and Engineering,Credit Control Manager,80,110,135
Chemicals and Engineering,Payroll Executive,36,48,60
Chemicals and Engineering,Payroll Manager,84,100,140
Chemicals and Engineering,Cost Accountant,48,64,84
Chemicals and Engineering,Costing Manager,91,117,130
Chemicals and Engineering,Cost Controller,78,104,156
Chemicals and Engineering,Accountant,48,58,74
Chemicals and Engineering,Senior Accountant,66,74,84
Chemicals and Engineering,Finance Manager,85,100,120
Chemicals and Engineering,Senior Finance Manager,110,125,144
Chemicals and Engineering,Finance Controller,120,156,180
Chemicals and Engineering,Finance Director,170,200,250
Chemicals and Engineering,Head of Finance Operations / Head of Shared Services,169,240,260
Chemicals and Engineering,Chief Financial Officer,250,325,400
Chemicals and Engineering,Tax Analyst,48,70,85
Chemicals and Engineering,Senior Tax Analyst / Assistant Tax Manager,70,85,100
Chemicals and Engineering,Tax Manager,80,120,180
Chemicals and Engineering,Indirect Tax Manager,80,120,156
Chemicals and Engineering,Transfer Pricing Manager,90,120,156
Chemicals and Engineering,Head of Tax / Tax Director,180,210,250
Chemicals and Engineering,Treasury Analyst,48,60,72
Chemicals and Engineering,Senior Treasury Analyst,60,76,91
Chemicals and Engineering,Treasury Manager,91,120,156
Chemicals and Engineering,Head of Treasury / Treasury Director,182,195,260
Chemicals and Engineering,Systems Finance Manager,90,120,156
Chemicals and Engineering,Change Management Leader,90,156,195
Chemicals and Engineering,Finance Transformation Manager,130,180,230
Chemicals and Engineering,Mergers & Acquisitions (M&A) Analyst,72,80,110
Chemicals and Engineering,Mergers & Acquisitions (M&A) Manager,104,130,156
Chemicals and Engineering,Head of Mergers & Acquisitions (M&A),182,220,260
Chemicals and Engineering,C&B Specialist,60,72,84
Chemicals and Engineering,Senior C&B Analyst,85,95,100
Chemicals and Engineering,Assistant C&B Manager,90,100,110
Chemicals and Engineering,HRBP,80,100,120
Chemicals and Engineering,HRBP Lead,120,135,150
Chemicals and Engineering,HR Executive,48,60,70
Chemicals and Engineering,Assistant HR Manager,72,80,85
Chemicals and Engineering,HR Manager,90,100,120
Chemicals and Engineering,HR Director,160,200,240
Chemicals and Engineering,Recruiting Coordinator,48,60,70
Chemicals and Engineering,Talent Acquisition Specialist,48,60,70
Chemicals and Engineering,Director Talent Development,120,135,150
Chemicals and Engineering,Senior Training Executive,48,60,70
Chemicals and Engineering,Compliance Manager,90,100,140
Chemicals and Engineering,Senior Compliance Manager,130,155,180
Chemicals and Engineering,Head of Compliance,200,250,300
Chemicals and Engineering,Legal Advisor,91,98,105
Chemicals and Engineering,Legal Counsel,110,115,120
Chemicals and Engineering,Senior Legal Counsel,180,212,250
Chemicals and Engineering,General Counsel,230,280,330
Chemicals and Engineering,Marketing Communications Manager,80,105,130
Chemicals and Engineering,Marketing Communications Director,130,150,164
Chemicals and Engineering,Corporate Communications Manager,85,97,110
Chemicals and Engineering,Corporate Communications Director,200,250,295
Chemicals and Engineering,Digital Engineer,60,70,72
Chemicals and Engineering,Digital Marketing Manager,72,87,156
Chemicals and Engineering,Marketing Executive,36,55,75
Chemicals and Engineering,Marketing Manager,84,100,180
Chemicals and Engineering,Channel Marketing Manager,100,107,115
Chemicals and Engineering,Marketing Director,130,190,250
Chemicals and Engineering,Product Marketing Executive,65,70,75
Chemicals and Engineering,Product Marketing Manager,78,137,169
Chemicals and Engineering,Senior Product Marketing Manager,127,167,207
Chemicals and Engineering,Market Research Analyst,72,96,120
Chemicals and Engineering,Head of Marketing Insights and Analytics,150,165,180
Chemicals and Engineering,Assistant Partnerships Manager,60,75,90
Chemicals and Engineering,Head of Partnerships,150,175,200
Chemicals and Engineering,Logistics Executive,58,60,71
Chemicals and Engineering,Logistics Manager,91,120,140
Chemicals and Engineering,Regional Logistics Manager,130,143,195
Chemicals and Engineering,Regional Trade Compliance Manager,117,156,200
Chemicals and Engineering,Procurement Executive,58,60,71
Chemicals and Engineering,Commodity Manager,91,100,117
Chemicals and Engineering,Procurement Manager,91,100,117
Chemicals and Engineering,Indirect Procurement Manager,91,110,120
Chemicals and Engineering,Regional Commodity / Sourcing Manager,130,156,195
Chemicals and Engineering,Head of Commodity / Sourcing,182,234,270
Chemicals and Engineering,Supply / Demand Planner,58,65,71
Chemicals and Engineering,Regional Supply / Demand Planner,65,71,78
Chemicals and Engineering,Supply Chain Manager,104,117,130
Chemicals and Engineering,Regional Supply Chain Manager,117,144,182
Chemicals and Engineering,Supply Chain Director,195,260,320
Chemicals and Engineering,Inventory Manager,91,104,110
Chemicals and Engineering,Account Manager,60,80,100
Chemicals and Engineering,Senior Account Manager,100,120,140
