Year,Event,Division,Gender,School,Name,Position,Timing(s)
2002,100 Metres ,A,Boys,RJC,Benjamin Ang Fu Hong,1,11.14
2002,100 Metres ,A,Boys,VJC,Teng Wei Yang Alexander,2,11.32
2002,100 Metres ,A,Boys,RJC,Lee Weijie,3,11.49
2002,100 Metres ,A,Boys,AJC,Tay Chi Wai Dennis,4,11.55
2002,100 Metres ,A,Boys,NJC,Fong Zhi Guang,5,11.57
2002,100 Metres ,A,Boys,ACJC,Shoon Ming Hui,6,11.59
2002,100 Metres ,A,Boys,CJC,Rajbir Singh Chopra,7,11.7
2002,100 Metres ,A,Boys,JI,Mohamed Effin Bin Jamalludin,8,12.32
2002,200 Metres ,A,Boys,AJC,Muhd Firdaus Bin Juhari,1,22.54
2002,200 Metres ,A,Boys,RJC,Benjamin Ang Fu Hong,2,22.8
2002,200 Metres ,A,Boys,NJC,Fong Zhi Guang,3,23.34
2002,200 Metres ,A,Boys,HCJC,Lim Jun Wei Joel,4,23.49
2002,200 Metres ,A,Boys,VJC,Seow Zhixiang,5,23.49
2002,200 Metres ,A,Boys,RJC,Lee Weijie,6,23.55
2002,200 Metres ,A,Boys,CJC,Rajbir Singh Chopra,7,23.95
2002,200 Metres ,A,Boys,SAJC,Chan Kok Sheng,8,24.25
2003,100 Metres ,A,Boys,AJC,Yeo Foo Ee Gary ,1,11.47
2003,100 Metres ,A,Boys,AJC,Tay Chi Wai Dennis,2,11.6
2003,100 Metres ,A,Boys,HCJC,Richard Batara ,3,11.62
2003,100 Metres ,A,Boys,AJC,Yuan Weijie,4,11.7
2003,100 Metres ,A,Boys,JJC,Chia Cai Yao Jasper,5,11.73
2003,100 Metres ,A,Boys,ACJC,Jiang Nanyu,6,11.74
2003,100 Metres ,A,Boys,VJC,William Jay Effendy,7,11.77
2003,100 Metres ,A,Boys,VJC,Koay Say Seng David,8,11.95
2003,200 Metres ,A,Boys,HCJC,Phang Xiao Feng,1,22.39
2003,200 Metres ,A,Boys,AJC,Yeo Foo Ee Gary,2,23.42
2003,200 Metres ,A,Boys,TPJC,Ivor Koo Wei-Zheng,3,23.48
2003,200 Metres ,A,Boys,HCJC,Chen Peng Fei,4,23.78
2003,200 Metres ,A,Boys,NYJC,Loi Heok Kia,5,23.85
2003,200 Metres ,A,Boys,VJC,Muhammad Uzair,6,23.95
2003,200 Metres ,A,Boys,NJC,Lee Han Sheng,7,23.96
2003,200 Metres ,A,Boys,VJC,Seow Zhixiang,8,49
2004,100 Metres ,A,Boys,RJC,Tang Soon Yuen Jonah,1,11.23
2004,100 Metres ,A,Boys,VJC,Lee Cheong Wei,2,11.26
2004,100 Metres ,A,Boys,VJC,Lance Tan,3,11.36
2004,100 Metres ,A,Boys,ACJC,Tang Yue Han,4,11.4
2004,100 Metres ,A,Boys,VJC,Muhammad Amirudin,5,11.42
2004,100 Metres ,A,Boys,JJC,Mohammad Zahari,6,11.52
2004,100 Metres ,A,Boys,NYJC,Leok Heok Kia,7,11.63
2004,100 Metres ,A,Boys,ACJC,Feng Siwei,8,11.66
2004,200 Metres ,A,Boys,RJC,Tang Soon Yuen Jonah,1,22.67
2004,200 Metres ,A,Boys,VJC,Lee Cheong Wei,2,22.94
2004,200 Metres ,A,Boys,VJC,Muhammad Amirudin,3,23.4
2004,200 Metres ,A,Boys,NYJC,Leok Heok Kia,4,23.46
2004,200 Metres ,A,Boys,JJC,Mohammad Zahari,5,23.5
2004,200 Metres ,A,Boys,HCJC,Phang Xiao Feng,6,23.5
2004,200 Metres ,A,Boys,TPJC,Muhammad Elfi Bin Mustafa,7,23.62
2004,200 Metres ,A,Boys,ACJC,Feng Siwei,8,24.16
2005,100 Metres ,A,Boys,RJC,Tang Soon Yuen Jonah,1,10.88
2005,100 Metres ,A,Boys,VJC,Muhammand Amirudin B Jamal,2,11.02
2005,100 Metres ,A,Boys,HCJC,Phang Xiao Feng,3,11.12
2005,100 Metres ,A,Boys,VJC,Lance Tan,4,11.13
2005,100 Metres ,A,Boys,RJC,Ng Jia Yuan,5,11.2
2005,100 Metres ,A,Boys,TPJC,Muhammad Elfi Bin Mustafa,6,11.4
2005,100 Metres ,A,Boys,NJC,Sum Yu Cheng,7,11.41
2005,100 Metres ,A,Boys,JJC,Muhammad Zahari,8,12.18
2005,200 Metres ,A,Boys,RJC,Tang Soon Yuen Jonah,1,21.78
2005,200 Metres ,A,Boys,RJC,Ng Jia Yuan,2,22.46
2005,200 Metres ,A,Boys,VJC,Muhammand Amirudin B Jamal,3,22.72
2005,200 Metres ,A,Boys,HCJC,Phang Xiao Feng,4,22.78
2005,200 Metres ,A,Boys,NJC,Sum Yu Cheng,5,23.23
2005,200 Metres ,A,Boys,TPJC,Muhammad Elfi Bin Mustafa,6,23.3
2005,200 Metres ,A,Boys,VJC,Muhammad Salman B Mohd Khair,7,23.4
2005,200 Metres ,A,Boys,RJC,Melvin Chong,8,23.54
2006,100 Metres ,A,Boys,VJC,Shawn Chua,1,11.4
2006,100 Metres ,A,Boys,RJC,Ng Jia Yuan,2,11.43
2006,100 Metres ,A,Boys,ACJC,Tang Wen Han,3,11.51
2006,100 Metres ,A,Boys,JJC,Muhammad Zahari,4,11.54
2006,100 Metres ,A,Boys,IJC,Tan Tze Jung,5,11.55
2006,100 Metres ,A,Boys,MI,Zulfadhli Hilmi ,6,11.58
2006,100 Metres ,A,Boys,HCJC,Koh Soon Hock,7,11.59
2006,100 Metres ,A,Boys,SAJC,Chua Yong Hwee,8,11.85
2006,200 Metres ,A,Boys,RJC,Ng Jia Yuan,1,22.88
2006,200 Metres ,A,Boys,TJC,Heng Kai Sheng,2,23.33
2006,200 Metres ,A,Boys,HCJC,Koh Soon Hock,3,23.47
2006,200 Metres ,A,Boys,TJC,Arvin Tang,4,23.68
2006,200 Metres ,A,Boys,ACJC,Hartono Wijaya,5,23.76
2006,200 Metres ,A,Boys,JJC,Muhammad Zahari,6,24.01
2006,200 Metres ,A,Boys,TPJC,Lim Zi Yao Fabian,7,24.15
2006,200 Metres ,A,Boys,ACJC,Tang Wen Han,8,24.42
2007,100 Metres ,A,Boys,ACJC,Tang Wen Han,1,11.22
2007,100 Metres ,A,Boys,VJC,Lim Yao Peng,2,11.3
2007,100 Metres ,A,Boys,RJC,Goh Eng Wei,3,11.31
2007,100 Metres ,A,Boys,MI,Zulfadhli Hilmi ,4,11.36
2007,100 Metres ,A,Boys,RJC,Raja Kamarul Irsyad,5,11.37
2007,100 Metres ,A,Boys,ACSI,Tee Yujin,6,11.48
2007,100 Metres ,A,Boys,HCJC,Chan Wei Hao,7,11.54
2007,100 Metres ,A,Boys,RJC,Stuart Lee Lin Jie,8,11.72
2007,200 Metres ,A,Boys,TJC,Heng Kai Sheng,1,22.95
2007,200 Metres ,A,Boys,VJC,Lim Yao Peng,2,23.25
2007,200 Metres ,A,Boys,MI,Zulfadhli Hilmi ,3,23.42
2007,200 Metres ,A,Boys,MI,Shalindran Sathiyanesan,4,23.46
2007,200 Metres ,A,Boys,ACJC,Tang Wen Han,5,23.51
2007,200 Metres ,A,Boys,RJC,Raja Kamarul Irsyad,6,23.66
2007,200 Metres ,A,Boys,RJC,Stuart Lee Lin Jie,7,23.92
2007,200 Metres ,A,Boys,ACJC,Joel Wei Maojie,8,24.04
2008,100 Metres ,A,Boys,RJC,Raja Kamarul Irsyad,1,11.2
2008,100 Metres ,A,Boys,ACSI,Tee Yujin,2,11.32
2008,100 Metres ,A,Boys,HCJC,Leong Yuan Chang,3,11.41
2008,100 Metres ,A,Boys,VJC,Loo Yi Hao,4,11.57
2008,100 Metres ,A,Boys,HCJC,Chan Wei Hao,5,11.58
2008,100 Metres ,A,Boys,ACJC,Richie Chen Yu Quan,6,11.6
2008,100 Metres ,A,Boys,MI,Chua Wee Chao Jonathan,7,11.62
2008,100 Metres ,A,Boys,RJC,Aaron Koh Huan Yu,8,11.65
2008,200 Metres ,A,Boys,RJC,Raja Kamarul Irsyad,1,22.46
2008,200 Metres ,A,Boys,MI,Shalindran Sathiyanesan,2,22.62
2008,200 Metres ,A,Boys,ACSI,Tee Yujin,3,22.86
2008,200 Metres ,A,Boys,HCJC,Leong Yuan Chang,4,22.9
2008,200 Metres ,A,Boys,HCJC,Cui Naisheng,5,23.3
2008,200 Metres ,A,Boys,RJC,Aaron Koh Huan Yu,6,23.58
2008,200 Metres ,A,Boys,VJC,Aurthur Lim ,7,24.04
2008,200 Metres ,A,Boys,ACJC,Ang Ren,8,24.13
2009,100 Metres ,A,Boys,VJC,Loo Yi Hao,1,11.05
2009,100 Metres ,A,Boys,VJC,Yang Jieyu,2,11.24
2009,100 Metres ,A,Boys,ACJC,Ko Teck Ee,3,11.27
2009,100 Metres ,A,Boys,NJC,Jason Tan Wei Jie,4,11.27
2009,100 Metres ,A,Boys,CJC,Jerome Mao Youming,5,11.3
2009,100 Metres ,A,Boys,AJC,Ng Ka Shing,6,11.37
2009,100 Metres ,A,Boys,ACJC,Joel Wei Maojie,7,11.41
2009,100 Metres ,A,Boys,RJC,Aaron Koh Huan Yu,8,11.49
2009,200 Metres ,A,Boys,IJC,Jamie Ross Coates,1,22.69
2009,200 Metres ,A,Boys,VJC,Loo Yi Hao,2,23.06
2009,200 Metres ,A,Boys,ACJC,Ko Teck Ee,3,23.17
2009,200 Metres ,A,Boys,HCJC,Cui Naisheng,4,23.36
2009,200 Metres ,A,Boys,AJC,Ng Ka Shing,5,23.46
2009,200 Metres ,A,Boys,NJC,Jason Tan Wei Jie,6,23.71
2009,200 Metres ,A,Boys,HCJC,Lin Xunkang Clement,7,23.9
2009,200 Metres ,A,Boys,ACSI,Patrick Lim Wei Wen,8,24.13
2010,100 Metres ,A,Boys,RJC,Shahrir Mohd Anuar,1,10.95
2010,100 Metres ,A,Boys,NJC,Jason Tan Wei Jie,2,11.48
2010,100 Metres ,A,Boys,RJC,Calvin Khor Zhi Sheng,3,11.52
2010,100 Metres ,A,Boys,HCJC,Lin Xunkang Clement,4,11.66
2010,100 Metres ,A,Boys,VJC,Dylan Teoh Yung Tye,5,11.67
2010,100 Metres ,A,Boys,ACJC,Alastair Tan,6,11.71
2010,100 Metres ,A,Boys,IJC,Dennis Lim Guo Wei,7,11.78
2010,100 Metres ,A,Boys,SAJC,Yeo Jun Yu Shawn,8,11.88
2010,200 Metres ,A,Boys,RJC,Shahrir Mohd Anuar,1,22.59
