year,month,day,station,daily_rainfall_total__mm_,rain,highest_30_min_rainfall__mm_,highest_60_min_rainfall__mm_,highest_120_min_rainfall__mm_,mean_temperature___c_,maximum_temperature___c_,minimum_temperature___c_,delta,mean_wind_speed__km_h_,max_wind_speed__km_h_,date_parsed
2019,1,1,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.4,33.9,25.1,8.8,5.4,30.6,2019-01-01T00:00:00.000Z
2019,1,2,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.8,32.3,26.0,6.3,7.6,32.8,2019-01-02T00:00:00.000Z
2019,1,3,Ang Mo Kio,0.2,1,0.2,0.2,0.2,29.0,32.2,26.4,5.8,10.4,39.2,2019-01-03T00:00:00.000Z
2019,1,4,Ang Mo Kio,0.0,0,0.0,0.0,0.0,29.2,32.6,26.3,6.3,7.6,31.3,2019-01-04T00:00:00.000Z
2019,1,5,Ang Mo Kio,37.4,1,35.8,37.4,37.4,27.8,32.3,24.0,8.3,5.0,33.5,2019-01-05T00:00:00.000Z
2019,1,6,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.1,32.3,25.8,6.5,8.3,33.8,2019-01-06T00:00:00.000Z
2019,1,7,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.4,32.1,25.9,6.2,9.0,36.0,2019-01-07T00:00:00.000Z
2019,1,8,Ang Mo Kio,3.4,1,2.0,2.4,2.6,27.6,30.6,25.7,4.9,7.2,30.2,2019-01-08T00:00:00.000Z
2019,1,9,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.1,32.0,25.6,6.4,8.6,36.4,2019-01-09T00:00:00.000Z
2019,1,10,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.3,32.0,25.7,6.3,9.4,38.2,2019-01-10T00:00:00.000Z
2019,1,11,Ang Mo Kio,0.6,1,0.6,0.6,0.6,27.7,31.5,24.4,7.1,8.3,34.2,2019-01-11T00:00:00.000Z
2019,1,12,Ang Mo Kio,1.0,1,1.0,1.0,1.0,28.0,32.8,24.9,7.9,7.2,28.8,2019-01-12T00:00:00.000Z
2019,1,13,Ang Mo Kio,4.8,1,2.4,3.2,4.8,27.3,31.5,25.4,6.1,6.8,32.8,2019-01-13T00:00:00.000Z
2019,1,14,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.5,31.3,25.3,6.0,7.6,32.8,2019-01-14T00:00:00.000Z
2019,1,15,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.1,32.9,25.5,7.4,5.4,24.1,2019-01-15T00:00:00.000Z
2019,1,16,Ang Mo Kio,0.0,0,0.0,0.0,0.0,28.0,31.4,25.9,5.5,7.2,29.9,2019-01-16T00:00:00.000Z
2019,1,17,Ang Mo Kio,20.4,1,16.8,16.8,18.2,26.4,31.6,24.2,7.4,6.5,33.8,2019-01-17T00:00:00.000Z
2019,1,18,Ang Mo Kio,37.8,1,10.2,11.8,13.6,25.5,27.9,23.0,4.9,7.6,33.8,2019-01-18T00:00:00.000Z
2019,1,19,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.0,30.6,24.7,5.9,7.2,32.4,2019-01-19T00:00:00.000Z
2019,1,20,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.8,32.1,25.3,6.8,8.3,33.8,2019-01-20T00:00:00.000Z
2019,1,21,Ang Mo Kio,3.4,1,2.2,3.2,3.4,27.6,32.0,25.8,6.2,7.9,33.8,2019-01-21T00:00:00.000Z
2019,1,22,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.2,30.6,25.1,5.5,9.0,40.3,2019-01-22T00:00:00.000Z
2019,1,23,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.6,31.3,25.3,6.0,10.4,45.4,2019-01-23T00:00:00.000Z
2019,1,24,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.1,30.5,25.4,5.1,9.0,38.9,2019-01-24T00:00:00.000Z
2019,1,25,Ang Mo Kio,0.0,0,0.0,0.0,0.0,26.7,30.0,24.6,5.4,8.6,35.6,2019-01-25T00:00:00.000Z
2019,1,26,Ang Mo Kio,0.0,0,0.0,0.0,0.0,26.7,30.1,24.5,5.6,9.7,37.1,2019-01-26T00:00:00.000Z
2019,1,27,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.4,31.4,25.2,6.2,10.1,37.1,2019-01-27T00:00:00.000Z
2019,1,28,Ang Mo Kio,0.4,1,0.4,0.4,0.4,26.2,28.8,24.3,4.5,8.6,40.0,2019-01-28T00:00:00.000Z
2019,1,29,Ang Mo Kio,0.2,1,0.2,0.2,0.2,27.3,31.3,25.1,6.2,10.1,40.3,2019-01-29T00:00:00.000Z
2019,1,30,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.5,31.2,25.4,5.8,9.4,40.7,2019-01-30T00:00:00.000Z
2019,1,31,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.3,31.4,25.2,6.2,7.9,33.5,2019-01-31T00:00:00.000Z
2020,1,1,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.6,31.1,25.4,5.7,17.6,47.2,2020-01-01T00:00:00.000Z
2020,1,2,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.4,30.3,25.4,4.9,17.3,44.3,2020-01-02T00:00:00.000Z
2020,1,3,Ang Mo Kio,0.2,1,0.2,0.2,0.2,27.5,30.9,25.7,5.2,18.4,40.0,2020-01-03T00:00:00.000Z
2020,1,4,Ang Mo Kio,1.4,1,0.8,0.8,0.8,27.0,29.8,25.3,4.5,18.0,47.9,2020-01-04T00:00:00.000Z
2020,1,5,Ang Mo Kio,0.0,0,0.0,0.0,0.0,27.5,32.0,24.7,7.3,17.6,37.8,2020-01-05T00:00:00.000Z
2020,1,6,Ang Mo Kio,19.4,1,15.6,17.6,18.0,26.3,31.3,23.8,7.5,14.8,45.7,2020-01-06T00:00:00.000Z
